Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1,,,GRASP-1,,,Known best solution or upper bound
,,,,,,No. of iterations,Average value,,No. of iterations,Best value,
g1,800,19176,9783,10956,11389,5,11338.000000,,50,11501,,12078
g10,800,19176,149,1350,1740,5,1714.000000,,50,1877,,N/A
g11,800,1600,98,434,516,5,420.000000,,50,522,,627
g12,800,1600,68,418,502,5,421.000000,,50,522,,621
g13,800,1600,90,432,510,5,442.000000,,50,544,,645
g14,800,4694,2439,2890,2996,5,2917.000000,,50,3018,,3187
g15,800,4661,2431,2873,2960,5,2905.000000,,50,3000,,3169
g16,800,4672,2420,2878,2982,5,2914.000000,,50,2998,,3172
g17,800,4667,2453,2864,2973,5,2902.000000,,50,2999,,N/A
g18,800,4694,147,780,908,5,807.000000,,50,950,,N/A
g19,800,4661,38,681,840,5,727.000000,,50,869,,N/A
g2,800,19176,9831,11030,11414,5,11379.000000,,50,11508,,12084
g20,800,4672,72,698,841,5,764.000000,,50,899,,N/A
g21,800,4667,78,704,835,5,754.000000,,50,884,,N/A
g22,2000,19990,10201,12346,12927,5,12818.000000,,50,13111,,14123
g23,2000,19990,10234,12291,12981,5,12785.000000,,50,13102,,14129
g24,2000,19990,10215,12367,12951,5,12778.000000,,50,13091,,14131
g25,2000,19990,10199,12408,13016,5,12797.000000,,50,13100,,N/A
g26,2000,19990,10202,12355,12970,5,12794.000000,,50,13109,,N/A
g27,2000,19990,179,2316,2935,5,2759.000000,,50,3115,,N/A
g28,2000,19990,160,2329,2935,5,2754.000000,,50,3064,,N/A
g29,2000,19990,275,2367,3061,5,2826.000000,,50,3160,,N/A
g3,800,19176,9814,11012,11405,5,11296.000000,,50,11520,,12077
g30,2000,19990,255,2401,3017,5,2859.000000,,50,3163,,N/A
g31,2000,19990,185,2290,2944,5,2766.000000,,50,3085,,N/A
g32,2000,4000,124,1058,1284,5,1041.000000,,50,1306,,1560
g33,2000,4000,82,1000,1234,5,1032.000000,,50,1278,,1537
g34,2000,4000,68,988,1246,5,1020.000000,,50,1290,,1541
g35,2000,11778,6072,7252,7520,5,7316.000000,,50,7550,,8000
g36,2000,11766,6041,7225,7494,5,7294.000000,,50,7551,,7996
g37,2000,11785,6057,7264,7508,5,7302.000000,,50,7550,,8009
g38,2000,11779,6057,7305,7487,5,7341.000000,,50,7544,,N/A
g39,2000,11778,199,1861,2197,5,1970.000000,,50,2284,,N/A
g4,800,19176,9844,11031,11344,5,11359.000000,,50,11541,,N/A
g40,2000,11766,145,1834,2145,5,1961.000000,,50,2268,,N/A
g41,2000,11785,155,1876,2210,5,1977.000000,,50,2254,,N/A
g42,2000,11779,220,1989,2271,5,2053.000000,,50,2343,,N/A
g43,1000,9990,5156,6188,6489,5,6408.000000,,50,6555,,7027
g44,1000,9990,5153,6157,6433,5,6397.000000,,50,6550,,7022
g45,1000,9990,5158,6179,6507,5,6376.000000,,50,6545,,7020
g46,1000,9990,5163,6150,6489,5,6373.000000,,50,6544,,N/A
g47,1000,9990,5170,6220,6466,5,6387.000000,,50,6546,,N/A
g48,3000,6000,3114,6000,5692,5,4900.000000,,50,5942,,6000
g49,3000,6000,3118,6000,5650,5,4874.000000,,50,6000,,6000
g5,800,19176,9803,10990,11415,5,11356.000000,,50,11539,,N/A
g50,3000,6000,3122,5880,5744,5,4916.000000,,50,5824,,5988
g51,1000,5909,3063,3626,3753,5,3671.000000,,50,3783,,N/A
g52,1000,5916,3059,3650,3763,5,3668.000000,,50,3787,,N/A
g53,1000,5914,3068,3632,3762,5,3680.000000,,50,3782,,N/A
g54,1000,5916,3084,3633,3755,5,3664.000000,,50,3788,,N/A
g6,800,19176,256,1515,1975,5,1881.000000,,50,2081,,N/A
g7,800,19176,156,1362,1798,5,1720.000000,,50,1899,,N/A
g8,800,19176,102,1331,1785,5,1742.000000,,50,1891,,N/A
g9,800,19176,170,1507,1824,5,1780.000000,,50,1928,,N/A
